agent,run_started_at,points,games,wins,losses,draws,win_rate,points_per_game,red_wins,red_games,yellow_wins,yellow_games,over_time_games,invalid_games
RafaImproved,2026-05-25 16:02:53,15.0,25,15,10,0,0.6,0.6,8,13,7,12,0,0
RafaQ,2026-05-25 16:02:53,10.0,25,10,15,0,0.4,0.4,5,12,5,13,0,0
